,Code,Name,City,Country,Altitude,Latitude,Longitude
6662,,,BARBERS POINT,USA,0,0,0
6663,,,PEARL HARBOR,USA,0,0,0
6664,,,HONOLULU,USA,0,0,0
6665,NGF,KANEOHE BAY MCAF,KANEOHE BAY,USA,6,21.449,-157.768
6666,HNL,HONOLULU INTERNATIONAL,HONOLULU,USA,4,21.316,-157.927
6667,LNY,LANAI,LANAI,USA,399,20.786,-156.951
6668,OGG,KAHULUI,KAHULUI,USA,17,20.899,-156.431
6669,BSF,BRADSHAW AAF,BRADSHAW FIELD,USA,1887,19.76,-155.554
6670,ITO,HILO INTERNATIONAL,HILO,USA,12,19.72,-155.049
6671,UPP,UPOLU,OPOLU,USA,30,20.265,-155.86
6672,,,SOUTH HAWAII MET,USA,0,0,0
6673,,,HICKAM,USA,0,0,0
6674,,,HONOLULU ARTCC,USA,0,0,0
6685,OLI,OLIKTOK LRRS,OLIKTOK POINT,USA,5,70.499,-149.879
6686,PIZ,POINT LAY LRRS,POINT LAY,USA,8,69.733,-163.005
