,airline,airline_id,source,source_id,dest,dest_id,equipment
20938,DL,2009,JFK,3797,DEN,3751,73H
20949,DL,2009,JFK,3797,IAD,3714,CR7 ERJ CRJ
20953,DL,2009,JFK,3797,LAS,3877,73H 738 757
20954,DL,2009,JFK,3797,LAX,3484,76W 752
20961,DL,2009,JFK,3797,MIA,3576,73H M88 738 319
20962,DL,2009,JFK,3797,MSP,3858,CR9 319 M88
20968,DL,2009,JFK,3797,ORD,3830,CR9
20986,DL,2009,JFK,3797,SEA,3577,752 757
20987,DL,2009,JFK,3797,SFO,3469,752
21017,DL,2009,LAS,3877,BOS,3448,73H
21021,DL,2009,LAS,3877,JFK,3797,738 757 73H
21022,DL,2009,LAS,3877,LAX,3484,319
21028,DL,2009,LAS,3877,MSP,3858,757 M90 738 739
21031,DL,2009,LAS,3877,SEA,3577,CR9
21041,DL,2009,LAX,3484,BOS,3448,73H
21048,DL,2009,LAX,3484,DCA,3520,73H
21059,DL,2009,LAX,3484,JFK,3797,76W 752
21061,DL,2009,LAX,3484,LAS,3877,319
21070,DL,2009,LAX,3484,MIA,3576,738
21071,DL,2009,LAX,3484,MSP,3858,757 753 739 763 738
21083,DL,2009,LAX,3484,SEA,3577,73H
21084,DL,2009,LAX,3484,SFO,3469,E75
21106,DL,2009,LGA,3697,BOS,3448,E75
21117,DL,2009,LGA,3697,DCA,3520,E70 E75
21118,DL,2009,LGA,3697,DEN,3751,320
21136,DL,2009,LGA,3697,MIA,3576,M88 320 738
21139,DL,2009,LGA,3697,MSP,3858,319 320 M88
21143,DL,2009,LGA,3697,ORD,3830,E75 E70
21250,DL,2009,MDW,3747,MSP,3858,E75 E70 CR7 CR9
21299,DL,2009,MIA,3576,JFK,3797,M88 73H 738 319
21300,DL,2009,MIA,3576,LAX,3484,738
21301,DL,2009,MIA,3576,LGA,3697,320 M88 738
21305,DL,2009,MIA,3576,MSP,3858,320 M90
21355,DL,2009,MSP,3858,BOS,3448,757 738 73H 320 319 M88
21369,DL,2009,MSP,3858,DCA,3520,M88 M90 319 738 320
21370,DL,2009,MSP,3858,DEN,3751,M90 320
21390,DL,2009,MSP,3858,IAD,3714,CR9 CR7
21398,DL,2009,MSP,3858,JFK,3797,319 M88
21400,DL,2009,MSP,3858,LAS,3877,M90 757 320 738
21401,DL,2009,MSP,3858,LAX,3484,738 763 753 757 739 320
21403,DL,2009,MSP,3858,LGA,3697,M88 319 320 738
21410,DL,2009,MSP,3858,MDW,3747,E75 E70 CR7 CR9
21412,DL,2009,MSP,3858,MIA,3576,320 M90
21422,DL,2009,MSP,3858,ORD,3830,M90 M88 320 319
21442,DL,2009,MSP,3858,SEA,3577,738 739 757 753 763
21443,DL,2009,MSP,3858,SFO,3469,320 753 M90 757 738
21540,DL,2009,ORD,3830,JFK,3797,CR9
21541,DL,2009,ORD,3830,LGA,3697,E75 E70
21545,DL,2009,ORD,3830,MSP,3858,M88 M90 320 319
21734,DL,2009,SEA,3577,JFK,3797,752 757
21735,DL,2009,SEA,3577,LAS,3877,CR9
21736,DL,2009,SEA,3577,LAX,3484,73H
21738,DL,2009,SEA,3577,MSP,3858,763 73H 753 738 757
21743,DL,2009,SEA,3577,SFO,3469,E75 734
21753,DL,2009,SFO,3469,JFK,3797,752
21754,DL,2009,SFO,3469,LAX,3484,E75
21757,DL,2009,SFO,3469,MSP,3858,M90 753 320 757 738
21760,DL,2009,SFO,3469,SEA,3577,E75 734
24195,EY,2222,JFK,3797,LAS,3877,738
24204,EY,2222,LAS,3877,JFK,3797,767 757
24347,F9,2468,DCA,3520,DEN,3751,320 319
24365,F9,2468,DEN,3751,DCA,3520,320 319
24380,F9,2468,DEN,3751,LAS,3877,320 319
24381,F9,2468,DEN,3751,LAX,3484,319 320
24382,F9,2468,DEN,3751,LGA,3697,320
24388,F9,2468,DEN,3751,MDW,3747,319
24393,F9,2468,DEN,3751,MSP,3858,319 320
24406,F9,2468,DEN,3751,SEA,3577,319 320
24407,F9,2468,DEN,3751,SFO,3469,320 319
24442,F9,2468,LAS,3877,DEN,3751,319 320
24443,F9,2468,LAX,3484,DEN,3751,320 319
24447,F9,2468,LGA,3697,DEN,3751,320
24461,F9,2468,MDW,3747,DEN,3751,319
24468,F9,2468,MSP,3858,DEN,3751,319 320
24503,F9,2468,SEA,3577,DEN,3751,320 319
24504,F9,2468,SFO,3469,DEN,3751,320 319
24936,FL,1316,BOS,3448,MDW,3747,73W
25024,FL,1316,DAL,3502,SEA,3577,73W
25025,FL,1316,DAL,3502,SFO,3469,73W
25043,FL,1316,DEN,3751,LAS,3877,73C 73W 73H
25044,FL,1316,DEN,3751,LAX,3484,73W 73C
25047,FL,1316,DEN,3751,MDW,3747,73W
25049,FL,1316,DEN,3751,MSP,3858,73W 73H
25122,FL,1316,IAD,3714,DEN,3751,73W
25123,FL,1316,IAD,3714,MDW,3747,73W
25147,FL,1316,LAS,3877,DEN,3751,73C 73W
25150,FL,1316,LAS,3877,LAX,3484,73W
25151,FL,1316,LAS,3877,MDW,3747,73H 73W
25160,FL,1316,LAS,3877,SEA,3577,73C
25167,FL,1316,LAX,3484,DEN,3751,73W
25169,FL,1316,LAX,3484,LAS,3877,73W
25170,FL,1316,LAX,3484,MDW,3747,73H 738
25180,FL,1316,LGA,3697,MDW,3747,73H 73W
25247,FL,1316,MDW,3747,BOS,3448,73W
25255,FL,1316,MDW,3747,DEN,3751,73W
25261,FL,1316,MDW,3747,IAD,3714,73W
25264,FL,1316,MDW,3747,LAS,3877,73W 738
25265,FL,1316,MDW,3747,LAX,3484,73W 73H
25266,FL,1316,MDW,3747,LGA,3697,73W
25273,FL,1316,MDW,3747,MSP,3858,73W
25292,FL,1316,MDW,3747,SEA,3577,73W 73H
25293,FL,1316,MDW,3747,SFO,3469,73W
25333,FL,1316,MSP,3858,DEN,3751,73C
25336,FL,1316,MSP,3858,MDW,3747,73W 73H
25470,FL,1316,SEA,3577,DEN,3751,73W
25471,FL,1316,SEA,3577,LAS,3877,73W
25472,FL,1316,SEA,3577,MDW,3747,73W 73H
25480,FL,1316,SFO,3469,DEN,3751,73W
25481,FL,1316,SFO,3469,MDW,3747,73W
30655,HA,2688,JFK,3797,LAS,3877,320
30660,HA,2688,LAS,3877,JFK,3797,320
30661,HA,2688,LAS,3877,SFO,3469,320
30688,HA,2688,SFO,3469,LAS,3877,320
36738,KL,3090,LAX,3484,MSP,3858,757 753
36803,KL,3090,MSP,3858,LAX,3484,757
36806,KL,3090,MSP,3858,SEA,3577,757
36807,KL,3090,MSP,3858,SFO,3469,757
36898,KL,3090,SFO,3469,SEA,3577,734
43345,NK,4687,BOS,3448,ORD,3830,319
43361,NK,4687,DEN,3751,LAS,3877,319
43362,NK,4687,DEN,3751,MSP,3858,319
43363,NK,4687,DEN,3751,ORD,3830,320
43454,NK,4687,LAS,3877,DEN,3751,319
43459,NK,4687,LAS,3877,LAX,3484,319
43460,NK,4687,LAS,3877,MSP,3858,320
43462,NK,4687,LAS,3877,ORD,3830,319 320
43470,NK,4687,LAX,3484,LAS,3877,319
43471,NK,4687,LAX,3484,MSP,3858,319
43472,NK,4687,LAX,3484,ORD,3830,319
43480,NK,4687,LGA,3697,ORD,3830,320
43494,NK,4687,MSP,3858,DEN,3751,319
43497,NK,4687,MSP,3858,LAS,3877,320
43498,NK,4687,MSP,3858,LAX,3484,319
43499,NK,4687,MSP,3858,ORD,3830,320 319
43518,NK,4687,ORD,3830,BOS,3448,319
43519,NK,4687,ORD,3830,DEN,3751,320
43523,NK,4687,ORD,3830,LAS,3877,320 319
43524,NK,4687,ORD,3830,LAX,3484,319
43525,NK,4687,ORD,3830,LGA,3697,320
43527,NK,4687,ORD,3830,MSP,3858,319 320
46945,QF,4089,JFK,3797,LAX,3484,744
46964,QF,4089,LAX,3484,JFK,3797,744
47488,QR,4091,JFK,3797,LAS,3877,738
47491,QR,4091,JFK,3797,ORD,3830,738
47506,QR,4091,LAS,3877,JFK,3797,757
47533,QR,4091,ORD,3830,JFK,3797,738
50489,SQ,4435,LAX,3484,ORD,3830,320
51666,SY,4356,BOS,3448,MSP,3858,738 73G
51670,SY,4356,DCA,3520,MSP,3858,73G
51673,SY,4356,JFK,3797,MSP,3858,73G 738
51676,SY,4356,LAS,3877,MSP,3858,738
51677,SY,4356,LAX,3484,MSP,3858,73G 738
51679,SY,4356,MDW,3747,MSP,3858,73G 738
51680,SY,4356,MSP,3858,BOS,3448,738 73G
51682,SY,4356,MSP,3858,DCA,3520,73G
51684,SY,4356,MSP,3858,JFK,3797,73G 738
51686,SY,4356,MSP,3858,LAS,3877,738
51687,SY,4356,MSP,3858,LAX,3484,73G 738
51689,SY,4356,MSP,3858,MDW,3747,73G 738
51695,SY,4356,MSP,3858,SEA,3577,73G 738
51696,SY,4356,MSP,3858,SFO,3469,73G 738
51702,SY,4356,SEA,3577,MSP,3858,73G 738
51703,SY,4356,SFO,3469,MSP,3858,73G 738
55878,UA,5209,BOS,3448,DEN,3751,739 320 738
55882,UA,5209,BOS,3448,IAD,3714,320 319 739 738 752 73G
55884,UA,5209,BOS,3448,LAX,3484,752
55886,UA,5209,BOS,3448,ORD,3830,739 752 738 73G 319 320 753
55888,UA,5209,BOS,3448,SFO,3469,752 753 739 738 73G
56070,UA,5209,DCA,3520,DEN,3751,738 752 320
56073,UA,5209,DCA,3520,ORD,3830,738 320 73G 319
56074,UA,5209,DCA,3520,SFO,3469,738 73G
56092,UA,5209,DEN,3751,BOS,3448,739 752 738 320
56106,UA,5209,DEN,3751,DCA,3520,738 752 320
